GPS time of week(s), GPS week, latitude (deg), longitude (deg), height (m), Velocity North (m/s), Velocity East (m/s), Velocity Up (m/s), Ground Speed (km/hr), Clock Offset (m), Clock Drift (m/s), Northing (m), Easting (m), Up (m),STDEV latitude (m), STDEV longitude (m), STDEV height (m), STDEV Velocity North (m/s), STDEV Velocity East (m/s), STDEV Velocity Up (m/s), STDEV Clock Offset (m), STDEV Clock Drift (m/s), NR PSR Available, NR PSR Used, NR Doppler Available, NR Doppler Used, NR ADR Available, NR ADR Used,NDOP,EDOP,VDOP,HDOP,PDOP,TDOP,GDOP
75359.99901,1463,51.09429217584,-114.13795860877,1093.6666,0.0005609412,0.002411446,0.0001526478,0.008912981,-179113.5751963,-120.776612,4.8914146,-13.217001,0.70956578,0.12416236,0.088098137,0.17179042,0.099954845,0.099953568,0.099959316,0.11378671,99.949887,10,9,0,0,10,9,0.80165827,0.67037827,1.1675786,1.0450182,1.5669405,0.84631258,1.7808839
75364.99898,1463,51.09429234808,-114.13795839851,1093.6392,-0.001649405,-0.0005254283,-0.00397891,0.006231862,-180318.1183733,-120.817123,4.9105787,-13.202268,0.68221343,0.1232662,0.087655001,0.17089539,0.099956588,0.099954642,0.099960047,0.11340561,99.949887,10,9,0,0,9,8,0.80161452,0.6702897,1.1683178,1.0449278,1.5674312,0.84687752,1.7815841
75369.99899,1463,51.09429291088,-114.13795778718,1093.6991,0.002460062,0.001706797,0.002890278,0.01077902,-181522.9276572,-120.844405,4.9732013,-13.159434,0.74205865,0.12226294,0.087088367,0.16993457,0.099957539,0.099955215,0.099960428,0.11295026,99.949887,10,9,0,0,10,8,0.80157053,0.67020118,1.1690582,1.0448372,1.5679228,0.84744304,1.7822856
75374.99901,1463,51.09429347439,-114.13795765629,1093.7447,0.001197051,-0.002577445,0.0006743393,0.01023069,-182728.2372859,-120.89481,5.0359026,-13.150263,0.78766225,0.12123667,0.086517272,0.16898094,0.09995755,0.099955222,0.099960446,0.11249309,99.949887,10,9,0,0,10,8,0.80152631,0.67011267,1.1697997,1.0447465,1.5684153,0.84800923,1.782988
75379.99902,1463,51.09429361411,-114.13795766389,1093.7839,0.0006960242,-0.0006084992,0.002942838,0.00332824,-183933.9235372,-120.931414,5.0514496,-13.150795,0.82684726,0.12018325,0.085945034,0.16804004,0.099957551,0.099955221,0.099960458,0.11203776,99.949887,10,9,0,0,9,8,0.80148172,0.67002422,1.1705422,1.0446557,1.5689087,0.84857601,1.7836916
75384.99899,1463,51.09429352817,-114.1379577059,1093.7497,-0.001811894,-0.0004221653,-0.002503942,0.006697532,-185139.8527531,-120.955599,5.0418862,-13.153739,0.79268388,0.11976559,0.085559623,0.16732051,0.099959089,0.099955358,0.099964196,0.11175044,99.949887,10,9,0,0,10,5,0.79399955,0.68793118,1.1827309,1.0505639,1.5819409,0.8579458,1.7996134
75389.99901,1463,51.09429321624,-114.13795733641,1093.7526,-0.00366703,0.002394056,0.0004806642,0.01576562,-186346.1217753,-120.989302,5.0071785,-13.12785,0.79560955,0.11905927,0.085139627,0.16645945,0.099960052,0.09995546,0.099966057,0.11133399,99.949887,10,9,0,0,10,5,0.79400861,0.68781585,1.1831695,1.0504953,1.5822232,0.85830122,1.8000309
75394.99902,1463,51.09429343716,-114.13795748972,1093.75,0.001348714,-0.001722161,-0.0001791859,0.007874763,-187553.0167169,-121.05215,5.0317594,-13.138592,0.79299431,0.11831189,0.084709865,0.16557643,0.09996007,0.099955461,0.099966129,0.11089629,99.949887,10,9,0,0,10,9,0.79401737,0.68770069,1.1836072,1.0504265,1.5825049,0.85865581,1.8004477
75399.99899,1463,51.09429346672,-114.13795721011,1093.75,-0.00121691,0.001061062,-0.0002916705,0.005812326,-188760.2558488,-121.087689,5.035049,-13.119,0.79299937,0.11743442,0.084222208,0.16459013,0.099954779,0.099953739,0.099959583,0.11036803,99.949887,10,9,0,0,10,9,0.7940259,0.68758559,1.1840441,1.0503576,1.582786,0.85900956,1.8008634
75404.99901,1463,51.09429357241,-114.13795860078,1093.7711,-0.0003662147,-0.009603766,0.001885261,0.03459868,-189967.8062053,-121.118024,5.0468097,-13.216441,0.81407869,0.11662113,0.083767085,0.16364132,0.099954768,0.099953734,0.099959541,0.10986189,99.949887,10,9,0,0,10,9,0.79403412,0.68747067,1.1844802,1.0502886,1.5830665,0.85936248,1.8012782
75409.99902,1463,51.09429371913,-114.13795787344,1093.7626,-0.0005484376,0.004502436,0.001330002,0.01632857,-191175.8815316,-121.169185,5.0631348,-13.165478,0.80560453,0.11582525,0.083323959,0.16269057,0.099954768,0.099953733,0.099959546,0.10935196,99.949887,10,9,0,0,10,9,0.79404205,0.68735582,1.1849155,1.0502194,1.5833464,0.85971451,1.8016921
75414.99899,1463,51.09429577673,-114.13795195431,1093.714,0.02400013,0.0406814,-0.001832,0.1700398,-192384.4717897,-121.22228,5.2920814,-12.75074,0.75693557,0.11629162,0.084019943,0.16242583,0.099963496,0.09996126,0.099964053,0.10926681,99.949887,9,9,0,0,8,5,0.79404968,0.68724114,1.1853499,1.0501502,1.5836256,0.8600657,1.8021051
75419.999,1463,51.09429568145,-114.13794813482,1093.8287,-0.004262627,0.02248146,0.008678385,0.0823752,-193592.5257945,-121.169525,5.2814787,-12.483119,0.87172205,0.1193146,0.084695824,0.16392189,0.099997018,0.099970072,0.099994577,0.11278653,99.949887,11,10,0,0,9,3,0.73021865,0.63056618,1.1614473,0.96479684,1.5098983,0.83885443,1.7272723
75424.99898,1463,51.09429572234,-114.13794703688,1093.8281,-0.001251457,0.005198994,0.001356252,0.01925098,-194801.6912456,-121.278729,5.2860283,-12.406189,0.87108082,0.12209673,0.08521984,0.165331,0.099997148,0.099971009,0.099994623,0.11567539,99.949887,10,9,0,0,8,3,0.79406399,0.6870122,1.1862161,1.0500112,1.5841818,0.86076546,1.802928
75429.99899,1463,51.09429597682,-114.13794682315,1093.8219,0.0001627374,5.768586e-005,-3.184696e-005,0.0006215723,-196011.3947739,-121.332353,5.3143436,-12.391214,0.86490724,0.12451251,0.085690733,0.16645601,0.099997164,0.099971048,0.099994641,0.11819338,99.949887,10,9,0,0,10,4,0.79407072,0.68689787,1.186648,1.0499414,1.5844591,0.86111403,1.8033379
75434.999,1463,51.0942959983,-114.13794656352,1093.8192,-0.0003481483,0.0007446418,-0.000163895,0.002959232,-197221.317679,-121.355268,5.3167335,-12.373022,0.86216546,0.1265199,0.085503387,0.16628926,0.099994386,0.099961749,0.099973809,0.11879483,99.949887,10,9,0,0,10,7,0.79407716,0.68678367,1.1870791,1.0498716,1.5847356,0.8614617,1.8037471
75439.99902,1463,51.09429630984,-114.13794672004,1093.8614,0.001485715,-0.001733245,0.004527355,0.008218328,-198431.6546147,-121.396286,5.3513987,-12.383989,0.90440316,0.12590125,0.085023387,0.16533977,0.099959368,0.09995536,0.099962777,0.11818368,99.949887,10,9,0,0,10,8,0.79408336,0.68666959,1.1875092,1.0498016,1.5850115,0.86180854,1.804155
75444.99899,1463,51.09429665856,-114.13794621749,1093.8268,0.004005988,0.002632559,-0.000725126,0.01725685,-199642.549192,-121.45105,5.3902004,-12.348777,0.86980458,0.12474306,0.084506663,0.16429282,0.099954977,0.099954253,0.099960412,0.11744671,99.949887,10,9,0,0,10,8,0.7940892,0.68655568,1.1879385,1.0497316,1.5852867,0.86215448,1.8045621
75449.999,1463,51.09429714104,-114.13794586452,1093.8406,0.002030059,0.0007035164,5.563263e-007,0.00773462,-200853.7543888,-121.484505,5.4438859,-12.324045,0.88361107,0.12373977,0.084128769,0.16324748,0.099956294,0.099956103,0.099961648,0.1168059,99.949887,11,10,0,0,10,6,0.73031056,0.63015491,1.1646222,0.9645977,1.5122148,0.84123623,1.7304542
75454.99902,1463,51.09429736387,-114.13794520458,1093.8476,-0.0002336173,0.002851214,-0.0001523842,0.01029877,-202065.2348883,-121.511813,5.4686801,-12.277805,0.8905921,0.12261423,0.083579675,0.16220814,0.099956668,0.099956639,0.099962032,0.11616468,99.949887,11,10,0,0,11,7,0.7303248,0.63008666,1.1651481,0.96456391,1.5125983,0.84163046,1.7309811
75459.99899,1463,51.09429714618,-114.13794560679,1093.8397,-0.005992191,-0.005337901,-0.0007578371,0.02888976,-203277.2308781,-121.563671,5.4444581,-12.305986,0.88272172,0.12151145,0.082984396,0.16119293,0.099956657,0.099955511,0.099961377,0.115536,99.949887,11,10,0,0,11,9,0.73033869,0.63001859,1.1656731,0.96452999,1.5129811,0.84202391,1.7315068
75464.999,1463,51.09429715513,-114.13794544235,1093.8295,-0.002178183,0.0006860341,0.001119522,0.008221191,-204489.7188721,-121.611114,5.4454538,-12.294464,0.87249254,0.12068758,0.082557109,0.16033128,0.09995666,0.099955508,0.099961375,0.11498939,99.949887,10,9,0,0,10,7,0.79410964,0.68610126,1.1896467,1.0494499,1.586381,0.86352932,1.8061804
75469.99902,1463,51.09429730108,-114.13794527128,1093.8347,0.001497725,0.001089998,0.002938993,0.006668534,-205702.4554928,-121.636078,5.4616936,-12.282478,0.87766753,0.12086218,0.082933642,0.15987943,0.099964069,0.099960366,0.099964037,0.11456513,99.949887,10,9,0,0,9,6,0.79411399,0.68598795,1.1900716,1.0493791,1.5866528,0.8638708,1.8065823
75474.99899,1463,51.09429742487,-114.13794517031,1093.7613,-0.0003339265,0.0009157397,-0.003534148,0.003509005,-206915.7759692,-121.694502,5.4754669,-12.275403,0.80426858,0.12044289,0.082787924,0.15925406,0.099965519,0.099961237,0.099964494,0.11409757,99.949887,10,9,0,0,10,8,0.79411805,0.68587476,1.1904955,1.0493082,1.5869238,0.86421132,1.8069832
75479.999,1463,51.09429787488,-114.13794522012,1093.7232,0.001473564,-0.001883327,-0.001938982,0.008608675,-208129.1163982,-121.696496,5.5255398,-12.278893,0.76621696,0.11969844,0.082424925,0.15848634,0.099965686,0.099961348,0.099964572,0.1135905,99.949887,11,10,0,0,10,6,0.73039126,0.62974715,1.1677639,0.96439248,1.514505,0.8435896,1.7336
75484.99901,1463,51.09429792673,-114.1379446599,1093.7011,-0.002052424,0.00226882,-0.0008300342,0.01101388,-209342.959652,-121.747492,5.5313081,-12.23964,0.74406257,0.11894827,0.082048086,0.15772377,0.09996573,0.099961368,0.0999646,0.11309339,99.949887,11,10,0,0,11,6,0.7304036,0.62967956,1.1682843,0.96435767,1.5148841,0.843979,1.7341207
75489.99899,1463,51.09429836432,-114.13794518136,1093.6917,0.00293693,-0.004046616,0.0006057652,0.01800024,-210557.2680168,-121.795155,5.5799988,-12.276177,0.73465175,0.1188615,0.082338582,0.15946518,0.099967634,0.099963214,0.099989781,0.11317298,99.949887,10,9,0,0,10,3,0.80043727,0.668082,1.1871718,1.042609,1.5800033,0.86120719,1.7994689
